,0.00_kbar_T,0.00_kbar_r_cool,0.00_kbar_r_warm,0.91_kbar_T_cool,0.91_kbar_r_cool,0.91_kbar_T_warm,0.91_kbar_r_warm,2.23_kbar_T_cool,2.23_kbar_r_cool,2.23_kbar_T_warm,2.23_kbar_r_warm,4.69_kbar_T_cool,4.69_kbar_r_cool,4.69_kbar_T_warm,4.69_kbar_r_warm,6.27_kbar_T_cool,6.27_kbar_r_cool,6.27_kbar_T_warm,6.27_kbar_r_warm,8.09_kbar_T_cool,8.09_kbar_r_cool,8.09_kbar_T_warm,8.09_kbar_r_warm,9.23_kbar_T_cool,9.23_kbar_r_cool,9.23_kbar_T_warm,9.23_kbar_r_warm,9.69_kbar_T_cool,9.69_kbar_r_cool,9.69_kbar_T_warm,9.69_kbar_r_warm,12.83_kbar_T_cool,12.83_kbar_r_cool,12.83_kbar_T_warm,12.83_kbar_r_warm,14.35_kbar_T_cool,14.35_kbar_r_cool,14.35_kbar_T_warm,14.35_kbar_r_warm
0,2.0,3.7171043595783064e-06,3.7171043595783064e-06,2.0634710541071124,4.961729108902362e-06,1.9813609975321302,4.515881375162798e-06,2.0634710541071124,5.6766040828170134e-06,1.9813609975321302,5.5740067444942634e-06,2.0634710541071124,5.6830435519681305e-06,1.9813609975321302,5.566938323542719e-06,2.0634710541071124,5.702475065703557e-06,1.9813609975321302,5.65814971380583e-06,2.0634710541071124,7.0213653866192825e-06,1.9813609975321302,6.9696466575521455e-06,2.0634710541071124,9.068818376897633e-06,1.9813609975321302,8.854375479145333e-06,2.0634710541071124,1.1115079390905172e-05,1.9813609975321302,1.0895410836847848e-05,2.0634710541071124,2.117466563146621e-05,1.9813609975321302,2.0145380769219114e-05,2.0634710541071124,3.129490905039662e-05,1.9813609975321302,2.9612519579355937e-05
1,2.2982982982982985,4.099764032020543e-06,4.099764032020543e-06,2.3078808400937145,5.454225858641296e-06,2.2915696606055835,4.656333755971649e-06,2.3078808400937145,6.038346994376314e-06,2.2915696606055835,6.001726250669591e-06,2.3078808400937145,6.065238681073771e-06,2.2915696606055835,5.919020333598395e-06,2.3078808400937145,6.105142122636773e-06,2.2915696606055835,6.035579012111995e-06,2.3078808400937145,7.473820242629544e-06,2.2915696606055835,7.409844942545374e-06,2.3078808400937145,9.662287539915414e-06,2.2915696606055835,9.431832621082522e-06,2.3078808400937145,1.1815308513815238e-05,2.2915696606055835,1.1536450517158152e-05,2.3078808400937145,2.2721889208999725e-05,2.2915696606055835,2.1473425778852326e-05,2.3078808400937145,3.3752284771006904e-05,2.2915696606055835,3.147171146063349e-05
2,2.5965965965965965,4.499465880350999e-06,4.499465880350999e-06,2.6032455396814136,5.8998963873477915e-06,2.601778323679036,4.833656133954926e-06,2.6032455396814136,6.466572135786971e-06,2.601778323679036,6.434945559144537e-06,2.6032455396814136,6.495148754730088e-06,2.601778323679036,6.327103124045709e-06,2.6032455396814136,6.551878521906118e-06,2.601778323679036,6.46385143229601e-06,2.6032455396814136,7.964406443790303e-06,2.601778323679036,7.892014437551113e-06,2.6032455396814136,1.0289452296556566e-05,2.601778323679036,1.0039470185927963e-05,2.6032455396814136,1.254350601787896e-05,2.601778323679036,1.22082757288265e-05,2.6032455396814136,2.4197908506131838e-05,2.601778323679036,2.2823499788840886e-05,2.6032455396814136,3.6116550702283706e-05,2.601778323679036,3.3448186133178155e-05
3,2.894894894894895,4.9275092582311055e-06,4.9275092582311055e-06,2.8501040014354233,6.304086696912266e-06,2.871008760285486,5.089487653362802e-06,2.8501040014354233,6.954145606857442e-06,2.871008760285486,6.893315625135198e-06,2.8501040014354233,6.979706473185892e-06,2.871008760285486,6.796525881299933e-06,2.8501040014354233,7.050771333209791e-06,2.871008760285486,6.947772206420971e-06,2.8501040014354233,8.500021541622207e-06,2.871008760285486,8.419313941989887e-06,2.8501040014354233,1.0955898151541281e-05,2.871008760285486,1.0690552045641025e-05,2.8501040014354233,1.331173943213598e-05,2.871008760285486,1.2926990874748463e-05,2.8501040014354233,2.5657102920373357e-05,2.871008760285486,2.4238702443019673e-05,2.8501040014354233,3.8411505947476286e-05,2.871008760285486,3.550050684118147e-05
4,3.193193193193193,5.38589643165428e-06,5.38589643165428e-06,3.267789008974586,6.699553450372355e-06,3.1458070816419603,5.464825611180135e-06,3.267789008974586,7.474704524665933e-06,3.1458070816419603,7.391122095069196e-06,3.267789008974586,7.519218048014349e-06,3.1458070816419603,7.319538976620557e-06,3.267789008974586,7.605510238843614e-06,3.1458070816419603,7.47675193936079e-06,3.267789008974586,9.085182538139277e-06,3.1458070816419603,8.992634564962127e-06,3.267789008974586,1.1662253430619648e-05,3.1458070816419603,1.138729958526007e-05,3.267789008974586,1.4126036367721866e-05,3.1458070816419603,1.371893627270451e-05,3.267789008974586,2.7136989140484664e-05,3.1458070816419603,2.573098789348725e-05,3.267789008974586,4.067091191800465e-05,3.1458070816419603,3.761189427928781e-05
5,3.4914914914914914,5.872325978036445e-06,5.872325978036445e-06,3.5093390906727397,7.1203914363270025e-06,3.4717426804552622,5.985870608304288e-06,3.5093390906727397,8.014257563410324e-06,3.4717426804552622,7.9278842323793e-06,3.5093390906727397,8.108863535872504e-06,3.4717426804552622,7.884929521809034e-06,3.5093390906727397,8.21082083828368e-06,3.4717426804552622,8.042050271638554e-06,3.5093390906727397,9.713055109732345e-06,3.4717426804552622,9.60933357555141e-06,3.5093390906727397,1.2412251319503876e-05,3.4717426804552622,1.2129901744029358e-05,3.5093390906727397,1.4989695793016948e-05,3.4717426804552622,1.4583002879921054e-05,3.5093390906727397,2.8668388734072256e-05,3.4717426804552622,2.7296082112378004e-05,3.5093390906727397,4.293328879859639e-05,3.4717426804552622,3.981001527881868e-05
6,3.78978978978979,6.382909883848635e-06,6.382909883848635e-06,3.8195661420406,7.590111837932351e-06,3.7682223713275453,6.648514092142158e-06,3.8195661420406,8.58238222396269e-06,3.7682223713275453,8.484895688649694e-06,3.8195661420406,8.741628677176893e-06,3.7682223713275453,8.485202037105044e-06,3.8195661420406,8.860589869088107e-06,3.7682223713275453,8.642854488007618e-06,3.8195661420406,1.0373699026790166e-05,3.7682223713275453,1.0261806044974482e-05,3.8195661420406,1.3209755447155463e-05,3.7682223713275453,1.2920968688640205e-05,3.8195661420406,1.5908111977177765e-05,3.7682223713275453,1.5498787684373825e-05,3.8195661420406,3.0270465833906225e-05,3.7682223713275453,2.893259177164738e-05,3.8195661420406,4.524797868527392e-05,3.7682223713275453,4.209331900614034e-05
7,4.088088088088088,6.913799435799896e-06,6.913799435799896e-06,4.0990171705757295,8.11295321222829e-06,4.058146319136006,7.402633990189687e-06,4.0990171705757295,9.173103781006509e-06,4.058146319136006,9.053550091166016e-06,4.0990171705757295,9.41323716899224e-06,4.058146319136006,9.107004261432205e-06,4.0990171705757295,9.558033303671118e-06,4.058146319136006,9.274477160292087e-06,4.0990171705757295,1.1061811622784113e-05,4.058146319136006,1.0944975717797257e-05,4.0990171705757295,1.405262783934291e-05,4.058146319136006,1.3758728297945907e-05,4.0990171705757295,1.6876059863961602e-05,4.058146319136006,1.644828960679571e-05,4.0990171705757295,3.1945070596109796e-05,4.058146319136006,3.063414761525838e-05,4.0990171705757295,4.762287597081665e-05,4.058146319136006,4.443778749992408e-05
8,4.386386386386386,7.462531906289964e-06,7.462531906289964e-06,4.406101398920305,8.682525276234465e-06,4.381702392968598,8.158105963872927e-06,4.406101398920305,9.785591397288599e-06,4.381702392968598,9.652765999489024e-06,4.406101398920305,1.0122514830453373e-05,4.381702392968598,9.748325559352035e-06,4.406101398920305,1.030247722557327e-05,4.381702392968598,9.93638483657485e-06,4.406101398920305,1.1775298700973969e-05,4.381702392968598,1.1657199494019567e-05,4.406101398920305,1.4933106216147457e-05,4.381702392968598,1.4639068071039978e-05,4.406101398920305,1.7887408007944592e-05,4.381702392968598,1.739707958727382e-05,4.406101398920305,3.367973901279888e-05,4.381702392968598,3.237828524097932e-05,4.406101398920305,5.0027747193977366e-05,4.381702392968598,4.680588981162349e-05
9,4.684684684684685,8.028907779559671e-06,8.028907779559671e-06,4.7221131169267965,9.29392175985006e-06,4.68407635552229,8.879396764177293e-06,4.7221131169267965,1.0417442061059047e-05,4.68407635552229,1.0275132496594819e-05,4.7221131169267965,1.0866616576289051e-05,4.68407635552229,1.041821263718268e-05,4.7221131169267965,1.109513456659388e-05,4.68407635552229,1.0631090912654465e-05,4.7221131169267965,1.251422457602895e-05,4.68407635552229,1.2390493140636213e-05,4.7221131169267965,1.584279529882916e-05,4.68407635552229,1.555344734702052e-05,4.7221131169267965,1.894130312845434e-05,4.68407635552229,1.8341570031234406e-05,4.7221131169267965,3.545729672968741e-05,4.68407635552229,3.412643603470209e-05,4.7221131169267965,5.2431331115051705e-05,4.68407635552229,4.9168122858144015e-05
10,4.982982982982983,8.613864385802752e-06,8.613864385802752e-06,5.008224604089224,9.944152265390058e-06,4.968300959029456,9.57314779146797e-06,5.008224604089224,1.1072944914728006e-05,4.968300959029456,1.0908735611512494e-05,5.008224604089224,1.1646734723016302e-05,4.968300959029456,1.1127164879209388e-05,5.008224604089224,1.1947213150775705e-05,4.968300959029456,1.1365200436109435e-05,5.008224604089224,1.3284814413793715e-05,4.968300959029456,1.3147505195692727e-05,5.008224604089224,1.6791180958037707e-05,4.968300959029456,1.650109342160569e-05,5.008224604089224,2.0036234914601016e-05,4.968300959029456,1.932480962535186e-05,5.008224604089224,3.727334459951794e-05,4.968300959029456,3.588225493307976e-05,5.008224604089224,5.482781452990139e-05,4.968300959029456,5.152173082906019e-05
11,5.281281281281281,9.21974110204593e-06,9.21974110204593e-06,5.3035921894292555,1.0632356573146365e-05,5.251849927672408,1.0259744360879827e-05,5.3035921894292555,1.1760308430823063e-05,5.251849927672408,1.1577934741685074e-05,5.3035921894292555,1.2466699299352642e-05,5.251849927672408,1.1885166920701818e-05,5.3035921894292555,1.2858943521198106e-05,5.251849927672408,1.2158057703816798e-05,5.3035921894292555,1.4092269459061196e-05,5.251849927672408,1.3935436213350129e-05,5.3035921894292555,1.7783559623872107e-05,5.251849927672408,1.748591547735605e-05,5.3035921894292555,2.117334352652207e-05,5.251849927672408,2.0396193126391164e-05,5.3035921894292555,3.9128640786057024e-05,5.251849927672408,3.7651864694539504e-05,5.3035921894292555,5.722535062857765e-05,5.251849927672408,5.38775212893495e-05
12,5.57957957957958,9.849417215747112e-06,9.849417215747112e-06,5.599065196664939,1.1355909415078335e-05,5.539688771823381,1.096200298716505e-05,5.599065196664939,1.2484992743590293e-05,5.539688771823381,1.2292055197748492e-05,5.599065196664939,1.3327513875000601e-05,5.539688771823381,1.2703483100478893e-05,5.599065196664939,1.3812148611385079e-05,5.539688771823381,1.3024618997920056e-05,5.599065196664939,1.493834446394329e-05,5.539688771823381,1.4757559878093903e-05,5.599065196664939,1.882132847954915e-05,5.539688771823381,1.8513117659929868e-05,5.599065196664939,2.2353210545968454e-05,5.539688771823381,2.1609895559241165e-05,5.599065196664939,4.102401615254013e-05,5.539688771823381,3.94472622006208e-05,5.599065196664939,5.96353570370734e-05,5.539688771823381,5.624082601810096e-05
13,5.877877877877878,1.050558112141263e-05,1.050558112141263e-05,5.91516360009891,1.2112280884834115e-05,5.857369131244482,1.1686172030136247e-05,5.91516360009891,1.3253536938398813e-05,5.857369131244482,1.304921891137072e-05,5.91516360009891,1.4237835656276754e-05,5.857369131244482,1.3589407816088567e-05,5.91516360009891,1.4796220052039589e-05,5.857369131244482,1.3970522081527014e-05,5.91516360009891,1.5827659901447833e-05,5.857369131244482,1.5619403530320467e-05,5.91516360009891,1.9907876364496706e-05,5.857369131244482,1.9587164777712973e-05,5.91516360009891,2.357915007831672e-05,5.857369131244482,2.2902594152506412e-05,5.91516360009891,4.296650275337904e-05,5.857369131244482,4.128905350664161e-05,5.91516360009891,6.207307646831582e-05,5.857369131244482,5.8622470197482914e-05
14,6.176176176176176,1.1186839754935346e-05,1.1186839754935346e-05,6.206191598653705,1.2906408387705997e-05,6.146876270209763,1.2436666096976024e-05,6.206191598653705,1.4080681252386565e-05,6.146876270209763,1.385155390859285e-05,6.206191598653705,1.52035851768282e-05,6.146876270209763,1.4542185895763334e-05,6.206191598653705,1.5801133618016635e-05,6.146876270209763,1.4995970858825594e-05,6.206191598653705,1.676904535388223e-05,6.146876270209763,1.6531219867235602e-05,6.206191598653705,2.104075712343638e-05,6.146876270209763,2.0710557825802287e-05,6.206191598653705,2.4860573073082616e-05,6.146876270209763,2.4233454657845823e-05,6.206191598653705,4.496119917125928e-05,6.146876270209763,4.319882685388668e-05,6.206191598653705,6.455045234163161e-05,6.146876270209763,6.103293885093503e-05
15,6.474474474474475,1.1890265411137752e-05,1.1890265411137752e-05,6.511133720011617,1.3749838337645375e-05,6.4388455127093565,1.3224739861008634e-05,6.511133720011617,1.4975138261717586e-05,6.4388455127093565,1.4711297696204936e-05,6.511133720011617,1.6219591147195395e-05,6.4388455127093565,1.555810203457323e-05,6.511133720011617,1.6808950018254378e-05,6.4388455127093565,1.608990582865836e-05,6.511133720011617,1.7762142466403292e-05,6.4388455127093565,1.7508107553940982e-05,6.511133720011617,2.221120479089876e-05,6.4388455127093565,2.188693082959647e-05,6.511133720011617,2.6196850766814993e-05,6.4388455127093565,2.5597600387707926e-05,6.511133720011617,4.701257305594661e-05,6.4388455127093565,4.518623437240816e-05,6.511133720011617,6.706892425204376e-05,6.4388455127093565,6.347347360662952e-05
16,6.772772772772773,1.261310917593703e-05,1.261310917593703e-05,6.813295394252387,1.4664212637418155e-05,6.734055123372844,1.4065137740333721e-05,6.813295394252387,1.594011688129573e-05,6.734055123372844,1.564504374282264e-05,6.813295394252387,1.7278329470424406e-05,6.734055123372844,1.664227819103762e-05,6.813295394252387,1.782202986899149e-05,6.734055123372844,1.7235350287968533e-05,6.813295394252387,1.8805738396688995e-05,6.734055123372844,1.857093547759466e-05,6.813295394252387,2.3434964319436877e-05,6.734055123372844,2.3118527794420363e-05,6.813295394252387,2.7590508519602412e-05,6.734055123372844,2.69948591109892e-05,6.813295394252387,4.912637096139426e-05,6.734055123372844,4.7233617325247676e-05,6.813295394252387,6.962616473787808e-05,6.734055123372844,6.594344290908455e-05
17,7.071071071071071,1.3353190031977634e-05,1.3353190031977634e-05,7.083121824266318,1.567193884436518e-05,7.034169343848741,1.4976523070116302e-05,7.083121824266318,1.6995810425262708e-05,7.034169343848741,1.667664968404059e-05,7.083121824266318,1.837389346892824e-05,7.034169343848741,1.778952515985224e-05,7.083121824266318,1.8881694879218572e-05,7.034169343848741,1.841325960562947e-05,7.083121824266318,1.991083589993569e-05,7.034169343848741,1.9750277571546184e-05,7.083121824266318,2.4762965822574967e-05,7.034169343848741,2.440983387479518e-05,7.083121824266318,2.905721475415143e-05,7.034169343848741,2.8438684366541916e-05,7.083121824266318,5.13115551102817e-05,7.034169343848741,4.932842085723037e-05,7.083121824266318,7.222602598644053e-05,7.034169343848741,6.844157546922162e-05
18,7.36936936936937,1.414027860026974e-05,1.414027860026974e-05,7.398818032639482,1.679394584966419e-05,7.323459665878103,1.5979562858726005e-05,7.398818032639482,1.815874493737821e-05,7.323459665878103,1.7833005181259708e-05,7.398818032639482,1.9513779758368627e-05,7.323459665878103,1.899569630644864e-05,7.398818032639482,2.003703213445685e-05,7.323459665878103,1.9619726757466358e-05,7.398818032639482,2.10942312239106e-05,7.323459665878103,2.105716395228819e-05,7.398818032639482,2.619452227912925e-05,7.323459665878103,2.5771975330599604e-05,7.398818032639482,3.060167035821551e-05,7.323459665878103,2.9939418087057073e-05,7.398818032639482,5.356190952189743e-05,7.323459665878103,5.147126549317888e-05,7.398818032639482,7.488778446058941e-05,7.323459665878103,7.096788273267844e-05
